date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2017-07-03,sh.000300,3667.2310,3667.5950,3633.7820,3650.8460,3666.7980,8882085888,115214688256.0000,3,0.003377,1,-0.435000,
2017-07-04,sh.000300,3646.8280,3646.8450,3611.6910,3619.9840,3650.8460,9507141376,125350416384.0000,3,0.003615,1,-0.845300,
2017-07-05,sh.000300,3611.8980,3660.7290,3610.4580,3659.6790,3619.9840,8823242496,120351563776.0000,3,0.003355,1,1.096600,
2017-07-06,sh.000300,3654.5570,3666.7740,3629.5600,3660.0960,3659.6790,10237924608,132837126144.0000,3,0.003889,1,0.011400,
2017-07-07,sh.000300,3647.6410,3657.1130,3631.8700,3655.9290,3660.0970,10373549824,123465392128.0000,3,0.003940,1,-0.113900,
2017-07-10,sh.000300,3647.9370,3667.8450,3641.5270,3653.6860,3655.9290,12059191040,141034627072.0000,3,0.004581,1,-0.061400,
2017-07-11,sh.000300,3646.8780,3701.2080,3645.9940,3670.8080,3653.6870,11876082688,145084362752.0000,3,0.004509,1,0.468600,
2017-07-12,sh.000300,3672.6320,3691.5810,3640.5890,3658.8230,3670.8090,12228779264,143494598656.0000,3,0.004638,1,-0.326500,
2017-07-13,sh.000300,3656.3500,3690.4830,3652.5650,3686.9200,3658.8230,12566955008,146388680704.0000,3,0.004766,1,0.767900,
2017-07-14,sh.000300,3682.6150,3703.0940,3672.7420,3703.0940,3686.9200,10551400448,121021448192.0000,3,0.004002,1,0.438700,
2017-07-17,sh.000300,3700.6170,3716.4700,3621.3650,3663.5570,3703.0940,17882160128,196217253888.0000,3,0.006781,1,-1.067700,
2017-07-18,sh.000300,3648.4940,3667.5400,3622.0410,3667.1800,3663.5570,12462205696,141472284672.0000,3,0.004719,1,0.098900,
2017-07-19,sh.000300,3660.8660,3731.0460,3658.2030,3729.7460,3667.1800,18247778816,198392451072.0000,3,0.006910,1,1.706100,
2017-07-20,sh.000300,3725.1430,3750.1930,3723.0680,3747.8840,3729.7460,14241004032,169267150848.0000,3,0.005392,1,0.486300,
2017-07-21,sh.000300,3738.1840,3751.6940,3722.0650,3728.5970,3747.8840,11794122496,141432631296.0000,3,0.004462,1,-0.514600,
2017-07-24,sh.000300,3724.3770,3755.1900,3719.8480,3743.4680,3728.5970,13486872320,154701873152.0000,3,0.005103,1,0.398800,
2017-07-25,sh.000300,3742.6400,3752.1550,3713.2760,3719.5590,3743.4680,12167205888,133531656192.0000,3,0.004603,1,-0.638700,
2017-07-26,sh.000300,3722.8760,3738.5310,3684.1810,3705.3880,3719.5590,13632520960,146518003712.0000,3,0.005157,1,-0.381000,
2017-07-27,sh.000300,3700.8550,3716.6880,3672.4970,3712.1940,3705.3880,14500290304,161631223808.0000,3,0.005485,1,0.183700,
2017-07-28,sh.000300,3703.4890,3725.5370,3696.7770,3721.8910,3712.1940,11141139200,125817860096.0000,3,0.004214,1,0.261200,
2017-07-31,sh.000300,3722.4280,3746.5200,3713.6550,3737.8730,3721.8910,14842903808,160890134528.0000,3,0.005614,1,0.429400,
2017-08-01,sh.000300,3738.7360,3770.4040,3737.0950,3770.3820,3737.8730,15254653952,173127577600.0000,3,0.005768,1,0.869700,
2017-08-02,sh.000300,3768.1930,3784.3510,3759.2760,3760.8520,3770.3820,17229338368,189336784896.0000,3,0.006515,1,-0.252800,
2017-08-03,sh.000300,3755.1080,3766.3450,3718.4350,3727.8260,3760.8520,14615394304,164710461440.0000,3,0.005526,1,-0.878200,
2017-08-04,sh.000300,3724.7220,3738.7310,3707.0030,3707.5790,3727.8260,15747005952,168292663296.0000,3,0.005954,1,-0.543100,
2017-08-07,sh.000300,3701.2160,3730.7770,3689.9550,3726.7940,3707.5790,12423152896,134348537856.0000,3,0.004697,1,0.518300,
2017-08-08,sh.000300,3724.3280,3737.3340,3718.8110,3732.2120,3726.7940,13724192768,146481868800.0000,3,0.005186,1,0.145400,
2017-08-09,sh.000300,3728.0310,3738.9990,3713.5660,3731.0440,3732.2120,12467998976,137223598080.0000,3,0.004711,1,-0.031300,
2017-08-10,sh.000300,3724.9620,3746.8610,3688.1760,3715.9200,3731.0440,13008512768,148005171200.0000,3,0.004915,1,-0.405400,
2017-08-11,sh.000300,3687.9310,3700.4940,3645.0940,3647.3500,3715.9200,15038742016,161083469824.0000,3,0.005682,1,-1.845300,
2017-08-14,sh.000300,3651.3750,3698.3660,3651.3750,3694.6830,3647.3500,11530845184,140233895936.0000,3,0.004357,1,1.297700,
2017-08-15,sh.000300,3695.7800,3719.2930,3692.2800,3706.0560,3694.6830,10644485632,124790632448.0000,3,0.004021,1,0.307800,
2017-08-16,sh.000300,3701.1330,3707.1440,3679.7330,3701.4200,3706.0560,10413414144,127282167808.0000,3,0.003934,1,-0.125100,
2017-08-17,sh.000300,3707.0660,3722.6230,3704.4120,3721.2770,3701.4200,10865625088,137020002304.0000,3,0.004104,1,0.536500,
2017-08-18,sh.000300,3707.1890,3733.4910,3700.4110,3724.6740,3721.2770,9656170496,123078164480.0000,3,0.003648,1,0.091300,
2017-08-21,sh.000300,3731.8390,3744.2630,3728.6150,3740.9940,3724.6740,10031307264,123911716864.0000,3,0.003789,1,0.438200,
2017-08-22,sh.000300,3745.7540,3758.2920,3734.5550,3752.2980,3740.9940,10029285632,131131076608.0000,3,0.003788,1,0.302200,
2017-08-23,sh.000300,3747.6100,3772.4560,3741.7200,3756.0880,3752.2980,10496157184,124081156096.0000,3,0.003965,1,0.101000,
2017-08-24,sh.000300,3755.8900,3765.7080,3729.0870,3734.6450,3756.0880,8994737152,107736018944.0000,3,0.003397,1,-0.570900,
2017-08-25,sh.000300,3736.2910,3795.9690,3736.2910,3795.7540,3734.6450,12994089984,150697082880.0000,3,0.004905,1,1.636300,
2017-08-28,sh.000300,3805.6560,3866.9420,3805.6560,3842.7110,3795.7540,18557632512,236446281728.0000,3,0.007002,1,1.237100,
2017-08-29,sh.000300,3839.1770,3847.9300,3825.7590,3834.5370,3842.7110,12822706944,158978682880.0000,3,0.004838,1,-0.212700,
2017-08-30,sh.000300,3834.2680,3854.7060,3827.8600,3834.3000,3834.5370,14135285760,166235123712.0000,3,0.005333,1,-0.006200,
2017-08-31,sh.000300,3835.8390,3840.1990,3800.8860,3822.0920,3834.3000,13294493440,157079216128.0000,3,0.005016,1,-0.318400,
2017-09-01,sh.000300,3825.3390,3843.6170,3818.1580,3830.5380,3822.0920,15864551168,182770434048.0000,3,0.005986,1,0.221000,
2017-09-04,sh.000300,3828.5440,3847.0900,3813.5530,3845.6160,3830.5380,14956632064,175551070208.0000,3,0.005643,1,0.393600,
2017-09-05,sh.000300,3845.5450,3865.2930,3841.9510,3857.0460,3845.6160,12496415488,145779757056.0000,3,0.004715,1,0.297200,
2017-09-06,sh.000300,3846.7470,3858.2480,3831.3830,3849.4490,3857.0460,13139872256,155883315200.0000,3,0.004949,1,-0.197000,
2017-09-07,sh.000300,3851.6880,3858.1610,3828.8350,3829.8710,3849.4490,12388418048,156113395712.0000,3,0.004666,1,-0.508600,
2017-09-08,sh.000300,3830.0700,3843.0180,3813.9830,3825.9890,3829.8710,10603650304,134958583808.0000,3,0.003993,1,-0.101400,
2017-09-11,sh.000300,3828.3420,3850.7400,3817.5100,3825.6450,3825.9890,12388399616,154793902080.0000,3,0.004666,1,-0.009000,
2017-09-12,sh.000300,3832.2420,3849.3880,3822.0030,3837.9340,3825.6450,14419024128,187605311488.0000,3,0.005430,1,0.321200,
2017-09-13,sh.000300,3835.5490,3847.7840,3822.9440,3842.6060,3837.9340,9541078528,126254362624.0000,3,0.003593,1,0.121700,
2017-09-14,sh.000300,3843.5720,3854.4930,3820.0870,3829.9550,3842.6060,11535858432,143111639040.0000,3,0.004345,1,-0.329200,
2017-09-15,sh.000300,3826.1440,3843.2970,3818.5230,3831.2960,3829.9550,12242700544,153477214208.0000,3,0.004611,1,0.035000,
2017-09-18,sh.000300,3832.9620,3862.3580,3832.9620,3843.1420,3831.2960,11793440512,152841027584.0000,3,0.004442,1,0.309200,
2017-09-19,sh.000300,3849.8790,3857.3030,3820.2880,3832.1160,3843.1420,11243298816,145528459264.0000,3,0.004234,1,-0.286900,
2017-09-20,sh.000300,3830.1540,3850.9420,3827.8850,3842.4350,3832.1160,10112954112,135041884160.0000,3,0.003809,1,0.269300,
2017-09-21,sh.000300,3843.2570,3860.7970,3837.3840,3837.8170,3842.4350,11109819136,144132894720.0000,3,0.004184,1,-0.120200,
2017-09-22,sh.000300,3826.4580,3842.2520,3816.8220,3837.7300,3837.8170,10061980160,128360894464.0000,3,0.003788,1,-0.002300,
2017-09-25,sh.000300,3829.2190,3835.3890,3811.1190,3817.7910,3837.7300,10394897664,135980240896.0000,3,0.003913,1,-0.519600,
2017-09-26,sh.000300,3810.3330,3821.6920,3808.3820,3820.7810,3817.7910,8186940672,101036335104.0000,3,0.003082,1,0.078300,
2017-09-27,sh.000300,3818.9640,3832.5660,3818.8140,3821.2000,3820.7810,8565581056,109299490816.0000,3,0.003225,1,0.011000,
2017-09-28,sh.000300,3821.5900,3827.3300,3813.7530,3822.5380,3821.2000,9354406912,115646337024.0000,3,0.003522,1,0.035000,
2017-09-29,sh.000300,3825.2020,3852.2230,3825.2020,3836.5010,3822.5380,9330602752,116056776704.0000,3,0.003510,1,0.365300,
2017-10-09,sh.000300,3910.1140,3918.8390,3876.0320,3882.2070,3836.5010,13553585152,171941462016.0000,3,0.005097,1,1.191300,
2017-10-10,sh.000300,3883.0030,3900.7410,3855.4660,3889.8630,3882.2070,11253258496,157979738112.0000,3,0.004232,1,0.197200,
2017-10-11,sh.000300,3886.8180,3913.0690,3885.4970,3902.6860,3889.8630,10441815040,144152739840.0000,3,0.003927,1,0.329700,
2017-10-12,sh.000300,3902.0150,3917.4430,3897.5470,3912.9530,3902.6860,9434092032,123147247616.0000,3,0.003548,1,0.263100,
2017-10-13,sh.000300,3912.9750,3927.1740,3908.8880,3921.0010,3912.9530,9014206720,114314854400.0000,3,0.003390,1,0.205700,
2017-10-16,sh.000300,3926.2750,3947.4230,3913.3220,3913.4460,3921.0010,12135503360,150823755776.0000,3,0.004563,1,-0.192700,
2017-10-17,sh.000300,3910.7890,3924.6140,3900.4750,3913.0680,3913.4460,8224122624,106708451328.0000,3,0.003092,1,-0.009700,
2017-10-18,sh.000300,3914.8150,3944.4100,3914.8150,3944.1620,3913.0680,10096984064,126420381696.0000,3,0.003796,1,0.794600,
2017-10-19,sh.000300,3940.5830,3944.0340,3923.6450,3931.2490,3944.1620,10652725248,133189857280.0000,3,0.004005,1,-0.327400,
2017-10-20,sh.000300,3918.5260,3928.9600,3910.1970,3926.8520,3931.2490,7298018048,94529638400.0000,3,0.002744,1,-0.111800,
2017-10-23,sh.000300,3930.8910,3936.2720,3920.6560,3930.7980,3926.8520,8148497920,100280909824.0000,3,0.003064,1,0.100500,
2017-10-24,sh.000300,3926.2290,3959.4950,3922.0280,3959.3950,3930.7980,9305815296,120192151552.0000,3,0.003498,1,0.727500,
2017-10-25,sh.000300,3958.1660,3978.0890,3954.0010,3976.9490,3959.3950,8820545792,106820308992.0000,3,0.003316,1,0.443300,
2017-10-26,sh.000300,3980.0470,4013.5980,3973.5530,3993.5750,3976.9490,12989546496,170488619008.0000,3,0.004883,1,0.418100,
2017-10-27,sh.000300,3992.5530,4024.4640,3991.3540,4021.9670,3993.5750,12667284736,152974831616.0000,3,0.004762,1,0.710900,
2017-10-30,sh.000300,4022.1640,4033.3390,3960.2690,4009.7210,4021.9670,15738760192,193489838080.0000,3,0.005917,1,-0.304500,
2017-10-31,sh.000300,3995.3930,4009.2820,3983.2560,4006.7170,4009.7210,10917878016,142897205248.0000,3,0.004105,1,-0.074900,
2017-11-01,sh.000300,4007.9110,4032.4580,3991.3230,3996.6220,4006.7170,13041737984,166477139968.0000,3,0.004903,1,-0.252000,
2017-11-02,sh.000300,3994.0940,3999.2260,3971.3760,3997.1340,3996.6220,12610057984,151981363200.0000,3,0.004741,1,0.012800,
2017-11-03,sh.000300,3992.3490,3999.3370,3963.0260,3992.6970,3997.1340,12940443904,158142058496.0000,3,0.004865,1,-0.111000,
2017-11-06,sh.000300,3989.1820,4021.6380,3975.4060,4020.8890,3992.6970,12208115968,158911860736.0000,3,0.004590,1,0.706100,
2017-11-07,sh.000300,4022.4010,4064.2170,4021.3630,4054.2460,4020.8890,15211666432,193990975488.0000,3,0.005718,1,0.829600,
2017-11-08,sh.000300,4051.4930,4089.1450,4040.5770,4048.0050,4054.2460,15082771968,200949739520.0000,3,0.005670,1,-0.153900,
